file;changed_keys;got_keys;
archive-1;5.000000;5.000000;
archive-37;5.000000;5.000000;
archive-32;5.000000;5.000000;
archive-38;5.000000;5.000000;
archive-36;5.000000;5.000000;
archive-4;5.000000;0.000000;
archive-61;5.000000;5.000000;
archive-49;5.000000;5.000000;
archive-7;5.000000;5.000000;
archive-12;5.000000;5.000000;
archive-34;5.000000;5.000000;
archive-9;5.000000;0.000000;
archive-10;5.000000;4.000000;
archive-60;5.000000;5.000000;
archive-46;5.000000;5.000000;
archive-18;5.000000;1.000000;
archive-59;5.000000;5.000000;
archive-5;5.000000;5.000000;
archive-43;5.000000;5.000000;
archive-27;5.000000;5.000000;
archive-54;5.000000;1.000000;
archive-21;5.000000;5.000000;
archive-25;5.000000;5.000000;
archive-17;5.000000;5.000000;
archive-33;5.000000;5.000000;
archive-13;5.000000;5.000000;
archive-26;5.000000;5.000000;
archive-28;5.000000;5.000000;
archive-11;5.000000;5.000000;
archive-24;5.000000;1.000000;
archive-35;5.000000;1.000000;
archive-47;5.000000;5.000000;
archive-19;5.000000;5.000000;
archive-16;5.000000;5.000000;
archive-42;5.000000;5.000000;
archive-2;5.000000;5.000000;
archive-0;5.000000;0.000000;
archive-8;5.000000;1.000000;
archive-62;5.000000;5.000000;
archive-52;5.000000;5.000000;
archive-56;5.000000;1.000000;
archive-50;5.000000;2.000000;
archive-23;5.000000;5.000000;
archive-57;5.000000;5.000000;
archive-45;5.000000;4.000000;
archive-55;5.000000;5.000000;
archive-30;5.000000;3.000000;
archive-44;5.000000;0.000000;
archive-15;5.000000;1.000000;
archive-39;5.000000;5.000000;
archive-40;5.000000;5.000000;
archive-41;5.000000;5.000000;
archive-58;5.000000;0.000000;
archive-3;5.000000;2.000000;
archive-22;5.000000;5.000000;
archive-53;5.000000;0.000000;
archive-6;5.000000;0.000000;
archive-20;5.000000;0.000000;
archive-31;5.000000;0.000000;
archive-14;5.000000;5.000000;
archive-29;5.000000;5.000000;
archive-48;5.000000;5.000000;
archive-51;5.000000;5.000000;
#Rate: 0.736508
